Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - Profile,,,,2024-02-13 11:09:56,2024-02-13 11:11:05,1m - 8.338s,FAILED
,,,,,,,
Test Cases/Profile/TC - Check Order History is Empty,,,,2024-02-13 11:09:56,2024-02-13 11:10:28,31.822s,PASSED
"startApplication(""D:\BFLP\Bootcamp\Materi\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,2024-02-13 11:09:57,2024-02-13 11:10:13,16.717s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.ImageView""), 10)",,,,2024-02-13 11:10:13,2024-02-13 11:10:25,11.269s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.FrameLayout""), 10)",,,,2024-02-13 11:10:25,2024-02-13 11:10:25,0.275s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Profile Objects/Check Order History/android.widget.TextView - Whoops, you havent ordered yet""), 10)",,,,2024-02-13 11:10:25,2024-02-13 11:10:27,1.624s,PASSED
closeApplication(),,,,2024-02-13 11:10:27,2024-02-13 11:10:28,1.691s,PASSED
,,,,,,,
Test Cases/Profile/TC - Edit Profile,,,,2024-02-13 11:10:28,2024-02-13 11:11:05,36.319s,FAILED
"startApplication(""D:\BFLP\Bootcamp\Materi\Solodroid_E-CommerceApp Demo_3.2.0.apk"", true)",,,,2024-02-13 11:10:28,2024-02-13 11:10:45,16.565s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.ImageView""), 10)",,,,2024-02-13 11:10:45,2024-02-13 11:10:56,11.153s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.TextView - EDIT""), 10)",,,,2024-02-13 11:10:56,2024-02-13 11:10:56,0.213s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.RelativeLayout""), 10)",,,,2024-02-13 11:10:56,2024-02-13 11:10:59,2.792s,PASSED
"setText(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.EditText - Your Name""), ""Kal"", 10)",,,,2024-02-13 11:10:59,2024-02-13 11:11:00,1.162s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.Button - OK""), 10)",,,,2024-02-13 11:11:00,2024-02-13 11:11:01,0.625s,PASSED
"tap(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.RelativeLayout (1)""), 10)",,,,2024-02-13 11:11:01,2024-02-13 11:11:03,1.845s,PASSED
"setText(findTestObject(""Object Repository/Profile Objects/Edit Profile/android.widget.EditText - your.emailgmail.com""), ""aquabotol@gmail.com"", 10)",,,,2024-02-13 11:11:03,2024-02-13 11:11:04,0.747s,PASSED
"tap(findTestObject(""""), 10)",,,,2024-02-13 11:11:04,2024-02-13 11:11:05,1.059s,FAILED
